,Eat,Xc,Egc,Egb,Eea,Ei,nc,eps,Average
GP-ST,0.9291744801208398,0.24203713463884696,0.1325166420002439,0.22745664391717726,0.24682807171963916,0.3233794561310061,0.40375509800612536,0.24649758875605865,0.34395563941124213
NN-ST,1.006302262963192,0.1737313631470415,0.08887209885089394,0.20873061738360454,0.21478312830833146,0.3284436872747176,0.44920327548617944,0.22896478685962404,0.33737890253419806
NN-MT1,0.8843932291706577,0.1772600181611324,0.0876990956106816,0.18696416369015337,0.15267034384407135,0.35519610372647076,0.2962637661142787,0.18403479559242522,0.2905601894887339
NN-MT2-all,0.42110854175765944,0.2904986771623591,0.07281827008436632,0.1012165619758468,0.13187371663888917,0.15960418352086553,0.16667132135619453,0.14669816261239066,0.18631117938857145
NN-MT2-sup,0.349897406971875,0.27946068741698415,0.07081604841731154,0.09691918651104935,0.12974578869712886,0.14559786946235118,0.14484191301282864,0.13667065464710593,0.16924369439207934
