,Eat,Xc,Egc,Egb,Eea,Ei,nc,eps,Average
GP-ST,1.3826332284017393,0.2996838958842777,0.16132907433575167,0.2663610977804355,0.2832557290212083,0.43177029325572974,0.5711421257029011,0.33063319711897565,0.46585108018762733
NN-ST,0.8916843083261481,0.17650957328002442,0.06944778532745943,0.20247897134250017,0.1832927243920644,0.25662389288775483,0.6218468018324786,0.2568110705820724,0.3323368909963128
NN-MT1,0.9970517174073512,0.18298882986494058,0.1037143676226575,0.20098427828011772,0.14904588693361367,0.28181534621702725,0.36260274849981916,0.2208452373654997,0.3123810515238784
NN-MT2-all,0.40838165052529984,0.24146603352944515,0.0756559982129117,0.1085789305829106,0.14536830179657506,0.17770721743484744,0.169782141874168,0.13858740787914797,0.18319096022941325
NN-MT2-sup,0.3761474538024898,0.23482014946621887,0.07236085210226978,0.10537782910495261,0.13600478002833102,0.16019816523018474,0.15021781198498213,0.12857312945123522,0.17046252139633306
