Property,RMSE
Eat,2.5025661434071487
Xc,29.572806845860523
Egc,1.587833015427335
Egb,2.5898555898289524
Eea,1.3552370355019712
Ei,2.711862857880587
nc,0.8339817319513764
eps,2.1425031173309623
